"CharacterSet","Total IDs","ID Size","Algorithm","Uncompressed","Compressed","Compressed&Encoded"
"AlphanumericAllSpecial","2000","3","GZip","6000","4766","6854"
"AlphanumericAllSpecial","2000","4","GZip","8000","6342","9136"
"AlphanumericAllSpecial","2000","5","GZip","10000","7920","11440"
"Numbers","5000","2","Zip","10000","5102","7212"
"Numbers","5000","3","Zip","15000","7565","10754"
"Numbers","5000","4","Zip","20000","10043","14280"
"Numbers","5000","5","Zip","25000","12491","17714"
"Alphanumeric","5000","2","Zip","10000","7526","10644"
"Alphanumeric","5000","3","Zip","15000","11280","15926"
"Alphanumeric","5000","4","Zip","20000","15057","21302"
"Alphanumeric","5000","5","Zip","25000","18807","26590"
"AlphanumericSpecial","5000","2","Zip","10000","7584","10764"
"AlphanumericSpecial","5000","3","Zip","15000","11364","16188"
"AlphanumericSpecial","5000","4","Zip","20000","15167","21494"
"AlphanumericSpecial","5000","5","Zip","25000","18939","27006"
"AlphanumericAllSpecial","5000","2","Zip","10000","7900","11312"
"AlphanumericAllSpecial","5000","3","Zip","15000","11847","17100"
"AlphanumericAllSpecial","5000","4","Zip","20000","15814","22788"
"AlphanumericAllSpecial","5000","5","Zip","25000","19751","28442"
"Numbers","5000","2","LZ4","10000","10055","13472"
"Numbers","5000","3","LZ4","15000","15074","20230"
"Numbers","5000","4","LZ4","20000","20094","26982"
"Numbers","5000","5","LZ4","25000","25114","33692"
"Alphanumeric","5000","2","LZ4","10000","10055","13512"
"Alphanumeric","5000","3","LZ4","15000","15074","20256"
"Alphanumeric","5000","4","LZ4","20000","20094","26998"
"Alphanumeric","5000","5","LZ4","25000","25114","33750"
"AlphanumericSpecial","5000","2","LZ4","10000","10055","13512"
"AlphanumericSpecial","5000","3","LZ4","15000","15074","20256"
"AlphanumericSpecial","5000","4","LZ4","20000","20094","26998"
"AlphanumericSpecial","5000","5","LZ4","25000","25114","33750"
"AlphanumericAllSpecial","5000","2","LZ4","10000","10055","13598"
"AlphanumericAllSpecial","5000","3","LZ4","15000","15074","20380"
"AlphanumericAllSpecial","5000","4","LZ4","20000","20094","27164"
"AlphanumericAllSpecial","5000","5","LZ4","25000","25114","33984"
"Numbers","5000","2","GZip","10000","5114","7228"
"Numbers","5000","3","GZip","15000","7577","10758"
"Numbers","5000","4","GZip","20000","10055","14304"
"Numbers","5000","5","GZip","25000","12503","17694"
"Alphanumeric","5000","2","GZip","10000","7538","10662"
"Alphanumeric","5000","3","GZip","15000","11292","15932"
"Alphanumeric","5000","4","GZip","20000","15069","21232"
"Alphanumeric","5000","5","GZip","25000","18819","26620"
"AlphanumericSpecial","5000","2","GZip","10000","7596","10828"
"AlphanumericSpecial","5000","3","GZip","15000","11376","16098"
"AlphanumericSpecial","5000","4","GZip","20000","15179","21498"
"AlphanumericSpecial","5000","5","GZip","25000","18951","26958"
"AlphanumericAllSpecial","5000","2","GZip","10000","7912","11326"
"AlphanumericAllSpecial","5000","3","GZip","15000","11859","17044"
"AlphanumericAllSpecial","5000","4","GZip","20000","15826","22766"
"AlphanumericAllSpecial","5000","5","GZip","25000","19763","28516"
"Numbers","10000","2","Zip","20000","10083","14312"
"Numbers","10000","3","Zip","30000","14993","21168"
"Numbers","10000","4","Zip","40000","19923","28128"
"Numbers","10000","5","Zip","50000","24659","34996"
"Alphanumeric","10000","2","Zip","20000","15054","21298"
"Alphanumeric","10000","3","Zip","30000","22558","31804"
"Alphanumeric","10000","4","Zip","40000","30094","42676"
"Alphanumeric","10000","5","Zip","50000","37595","53234"
"AlphanumericSpecial","10000","2","Zip","20000","15167","21616"
"AlphanumericSpecial","10000","3","Zip","30000","22723","32150"
"AlphanumericSpecial","10000","4","Zip","40000","30313","43114"
"AlphanumericSpecial","10000","5","Zip","50000","37876","53954"
"AlphanumericAllSpecial","10000","2","Zip","20000","15825","22854"
"AlphanumericAllSpecial","10000","3","Zip","30000","23696","34176"
"AlphanumericAllSpecial","10000","4","Zip","40000","31602","45348"
"AlphanumericAllSpecial","10000","5","Zip","50000","39497","57110"
"Numbers","10000","2","LZ4","20000","20094","26982"
